DateTime,ANN_CRU_hhs,ANN_all_hhs,ANN_CRU_days,ANN_all_days
2016-07-14 00:30:00,-2.53,0.33,-2.402,-2.051
2016-07-14 01:00:00,-3.26,-7.1,-3.348,-5.667
2016-07-14 01:30:00,-2.68,4.87,-3.048,-0.276
2016-07-14 02:00:00,-2.6,2.98,-2.762,-0.837
2016-07-14 02:30:00,-4.38,-7.73,-4.12,-5.846
2016-07-14 03:00:00,-5.33,-4.93,-4.97,-5.671
2016-07-14 03:30:00,-5.46,-9.62,-5.22,-8.173
2016-07-14 04:00:00,-6.44,-8.23,-6.064,-7.837
2016-07-14 04:30:00,-6.11,-10.28,-6.104,-8.992
2016-07-14 05:00:00,-6.32,-9.25,-6.124,-8.406
2016-07-14 05:30:00,-5.07,-1.97,-5.51,-4.749
2016-07-14 06:00:00,-4.95,4.39,-5.26,-1.368
2016-07-14 06:30:00,-6.19,1.46,-5.542,-3.302
2016-07-14 07:00:00,-16.96,-8.5,-17.012,-12.617
2016-07-14 07:30:00,-14.57,-4.33,-14.758,-9.488
2016-07-14 08:00:00,-12.74,2.23,-12.32,-5.436
2016-07-14 08:30:00,-11.73,-2.5,-11.536,-6.76
2016-07-14 09:00:00,-9.52,-5.38,-8.238,-6.971
2016-07-14 09:30:00,-11.68,-1.39,-9.972,-4.291
2016-07-14 10:00:00,-12.78,4.34,-11.4,-2.884
2016-07-14 10:30:00,-8.6,0.57,-7.204,-3.785
2016-07-14 11:00:00,-12.5,-9.12,-11.36,-9.736
2016-07-14 11:30:00,-12.3,-7.5,-10.232,-7.653
2016-07-14 12:00:00,-11.28,-2.69,-9.35,-4.906
2016-07-14 12:30:00,-12.88,-3.29,-11.526,-6.19
2016-07-14 13:00:00,-13.72,-10.6,-11.552,-9.632
2016-07-14 13:30:00,-12.23,-1.93,-10.558,-5.609
2016-07-14 14:00:00,-9.9,5.97,-8.732,-1.367
2016-07-14 14:30:00,-12.58,-5.12,-11.244,-7.83
2016-07-14 15:00:00,-10.15,7.86,-8.71,0.116
2016-07-14 15:30:00,-14.06,4.47,-12.45,-2.728
2016-07-14 16:00:00,-14.03,-7.96,-11.964,-8.358
2016-07-14 16:30:00,-12.89,-9.14,-11.688,-9.643
2016-07-14 17:00:00,-21.92,-4.19,-19.128,-9.435
2016-07-14 17:30:00,-13.5,-4.93,-11.718,-8.179
2016-07-14 18:00:00,-10.28,-7.55,-10.466,-9.863
2016-07-14 18:30:00,-11.84,-9.92,-10.768,-9.739
2016-07-14 19:00:00,-7.46,-6.2,-6.92,-6.83
2016-07-14 19:30:00,-10.56,-11.83,-10.768,-11.145
2016-07-14 20:00:00,-9.66,-10.97,-9.992,-10.086
