Technique,Bias_10,Bias_90,SDev,SDev_SD,R2,R2_SD
IP_lin_hhs,-1.674899,0.860213,25.097101,1.04825,0.300059,0.041062
IP_mov_hhs,-1.949368,0.532854,24.249929,1.034588,0.301555,0.038476
WDM_hhs,-2.131153,0.504269,28.328902,1.115912,0.113559,0.020543
FDA_hh6_hhs,-1.806013,0.80153,26.313811,1.109138,0.216654,0.034598
MDA_hh5_hhs,-1.99901,0.465195,24.312179,1.040233,0.298335,0.03845
MDC_d3_hhs,-3.122274,-0.212956,30.388053,1.154566,0.087396,0.023185
MDC_d7_hhs,-2.91754,-0.259288,28.048349,1.1356,0.107696,0.023632
LUT_V1_d3_hhs,2.75628,5.238944,24.970936,1.058647,0.2328,0.049233
LUT_V1_d7_hhs,2.844802,5.36498,25.340553,1.082164,0.206464,0.040812
LUT_V1V2_d3_hhs,-1.299365,1.341762,26.235624,1.052746,0.19241,0.036621
LUT_V1V2_d7_hhs,-1.550135,0.945444,25.679307,1.040702,0.21069,0.035067
LUT_V1V2V3_d3_hhs,-1.261822,1.54363,27.533633,1.108934,0.167504,0.033446
LUT_V1V2V3_d7_hhs,-1.125682,1.45903,26.837458,1.096021,0.176863,0.034074
LUT_MDS_d7_hhs,-3.209034,-0.538451,27.673295,1.086782,0.130643,0.020804
ANN_CRU_hhs,-2.0548,0.411336,24.509654,1.081948,0.222826,0.025172
ANN_all_hhs,-1.963785,0.302056,22.800733,1.005896,0.335333,0.03083
IP_lin_days,1.08721,7.048221,28.812163,2.079475,0.016368,0.017398
IP_mov_days,1.113816,6.881501,28.636149,2.084718,0.01824,0.018372
WDM_days,-4.98531,1.679825,30.739894,2.085915,0.016722,0.017063
FDA_hh6_days,-4.710953,1.990155,30.69592,2.092904,0.057433,0.031873
MDA_hh5_days,-4.949999,1.879711,30.356492,2.118943,0.07037,0.038628
MDC_d3_days,-4.912401,0.90742,30.011353,1.823533,0.093682,0.032055
MDC_d7_days,-4.547512,0.862081,27.774467,1.612292,0.110352,0.034106
LUT_V1_d3_days,1.661584,5.742418,25.582474,1.555624,0.185497,0.060878
LUT_V1_d7_days,1.43566,6.108188,25.991,1.764087,0.134531,0.060926
LUT_V1V2_d3_days,-3.132976,1.35334,28.441254,1.923304,0.127248,0.039528
LUT_V1V2_d7_days,-2.989945,1.324712,26.937503,1.701835,0.158692,0.041329
LUT_V1V2V3_d3_days,-2.279779,2.125345,29.064189,1.640698,0.120787,0.032462
LUT_V1V2V3_d7_days,-2.178986,2.053619,28.109865,1.664025,0.131898,0.031748
LUT_MDS_d7_days,-5.447369,0.039687,29.181592,1.726528,0.084963,0.022746
ANN_CRU_days,-2.983569,1.625055,24.339675,1.699931,0.213436,0.032886
ANN_all_days,-2.814627,1.341155,22.978584,1.609901,0.293734,0.036202
