Technique,Bias_10,Bias_90,SDev,SDev_SD,R2,R2_SD
IP_lin_hhs,-1.125513,0.661132,20.877465,0.745069,0.336936,0.035735
IP_mov_hhs,-1.21912,0.452518,19.976999,0.726447,0.346891,0.033681
WDM_hhs,-1.423715,0.344,23.086742,0.788607,0.175539,0.019668
FDA_hh6_hhs,-1.123081,0.581787,21.671427,0.767405,0.266554,0.030851
MDA_hh5_hhs,-1.257829,0.437326,20.138638,0.729834,0.342524,0.033465
MDC_d3_hhs,-2.1247,-0.174152,25.864174,0.819055,0.11781,0.022166
MDC_d7_hhs,-1.945325,-0.131275,23.670986,0.796466,0.149924,0.023067
LUT_V1_d3_hhs,-1.232415,0.483539,22.840425,0.738763,0.204262,0.041844
LUT_V1_d7_hhs,-1.394868,0.405514,23.196927,0.757717,0.176178,0.035659
LUT_V1V2_d3_hhs,-0.853614,0.935423,21.776082,0.75462,0.230693,0.033802
LUT_V1V2_d7_hhs,-0.975349,0.729027,21.431679,0.745869,0.246048,0.031997
LUT_V1V2V3_d3_hhs,-0.737392,1.215567,21.733374,0.786788,0.233925,0.033939
LUT_V1V2V3_d7_hhs,-0.586125,1.165289,21.354237,0.771764,0.239998,0.032854
LUT_MDS_d7_hhs,-2.104387,-0.337453,22.778094,0.764328,0.179307,0.019988
ANN_CRU_hhs,-1.02352,0.634613,19.873957,0.760128,0.283039,0.024271
ANN_all_hhs,-0.999621,0.543328,18.603497,0.706459,0.3835,0.027934
IP_lin_days,-4.264222,0.734623,26.996335,1.689927,0.010786,0.011357
IP_mov_days,-4.172563,0.703346,26.892117,1.698104,0.011484,0.011774
WDM_days,-3.408018,1.317835,24.772796,1.646632,0.068154,0.028388
FDA_hh6_days,-3.296107,1.561835,26.028076,1.650549,0.087145,0.034354
MDA_hh5_days,-3.378616,1.578743,25.515321,1.665743,0.103886,0.039925
MDC_d3_days,-3.553487,0.593451,25.481079,1.369288,0.123885,0.0341
MDC_d7_days,-3.1953,0.755927,23.366291,1.248741,0.152695,0.038004
LUT_V1_d3_days,-2.340886,0.96674,23.296933,1.298426,0.161327,0.058279
LUT_V1_d7_days,-2.720721,1.015,23.66599,1.405376,0.118882,0.057173
LUT_V1V2_d3_days,-2.268426,1.254712,23.323691,1.452455,0.161239,0.03975
LUT_V1V2_d7_days,-2.054227,1.195959,22.29781,1.302476,0.193695,0.042068
LUT_V1V2V3_d3_days,-1.553382,1.716577,23.310074,1.228085,0.157833,0.036815
LUT_V1V2V3_d7_days,-1.347749,1.810306,22.582254,1.224451,0.176027,0.03428
LUT_MDS_d7_days,-3.797526,0.19976,23.797429,1.27715,0.133438,0.026611
ANN_CRU_days,-1.723898,1.459314,19.641771,1.233571,0.274431,0.035427
ANN_all_days,-1.650614,1.242309,18.614059,1.173089,0.344515,0.037875
