Technique,Bias_10,Bias_90,SDev,SDev_SD,R2,R2_SD
IP_lin_hhs,-0.825153,0.898117,13.560683,0.74341,0.242488,0.059942
IP_mov_hhs,-0.725165,0.845775,12.566811,0.699697,0.276431,0.05999
WDM_hhs,-0.89475,0.821449,13.996221,0.752499,0.108517,0.034651
FDA_hh6_hhs,-0.75442,0.990151,13.622445,0.748744,0.211262,0.051163
MDA_hh5_hhs,-0.747711,0.924615,12.900905,0.702617,0.266088,0.056961
MDC_d3_hhs,-1.356419,0.842509,18.020633,0.862667,0.002366,0.003215
MDC_d7_hhs,-0.948363,1.021071,16.080425,0.802411,0.001707,0.002626
LUT_V1_d3_hhs,-9.036691,-7.070382,19.14621,0.798293,0.0324,0.030294
LUT_V1_d7_hhs,-9.479552,-7.486254,19.480339,0.819594,0.02635,0.02605
LUT_V1V2_d3_hhs,-0.746991,1.067268,14.042215,0.773565,0.083485,0.058871
LUT_V1V2_d7_hhs,-0.677534,1.186519,14.065324,0.797873,0.066468,0.058691
LUT_V1V2V3_d3_hhs,-0.437271,1.172631,11.675904,0.701062,0.310761,0.095876
LUT_V1V2V3_d7_hhs,-0.31473,1.359219,11.846913,0.721165,0.272291,0.087274
LUT_MDS_d7_hhs,-0.993652,0.868028,14.289773,0.789987,0.015927,0.010138
ANN_CRU_hhs,0.027907,1.655201,11.835965,0.715892,0.257203,0.068591
ANN_all_hhs,0.073274,1.54992,11.325366,0.658263,0.342645,0.05866
IP_lin_days,-13.972075,-9.171323,23.911174,1.757145,0.008431,0.011595
IP_mov_days,-13.888352,-9.139716,23.928346,1.782739,0.007851,0.011236
WDM_days,-1.982179,1.621096,14.684833,1.484169,0.013246,0.015047
FDA_hh6_days,-1.976172,1.725612,18.129437,1.727673,0.009645,0.008048
MDA_hh5_days,-1.744244,1.75467,17.328357,1.70789,0.002482,0.003712
MDC_d3_days,-2.270293,1.311262,17.822013,1.375607,0.003383,0.004969
MDC_d7_days,-1.732695,1.533635,15.916795,1.313002,0.002592,0.003615
LUT_V1_d3_days,-10.09076,-6.41832,19.419989,1.389717,0.017562,0.022402
LUT_V1_d7_days,-10.42959,-6.80122,19.717603,1.316344,0.016623,0.019994
LUT_V1V2_d3_days,-1.805585,1.655398,14.671856,1.425555,0.011721,0.011289
LUT_V1V2_d7_days,-1.578339,1.866819,14.44846,1.427604,0.015581,0.012069
LUT_V1V2V3_d3_days,-1.067626,2.077554,13.581163,1.521058,0.078782,0.069979
LUT_V1V2V3_d7_days,-0.662179,2.108261,13.232921,1.391371,0.086693,0.050669
LUT_MDS_d7_days,-1.939373,1.451241,14.695733,1.380043,0.006509,0.009337
ANN_CRU_days,-0.505534,1.805188,11.695113,1.005826,0.234644,0.091739
ANN_all_days,-0.560302,1.607357,11.229875,0.936184,0.295243,0.09082
