DateTime,FluX_tNr,Nr_F,Nr_qc,Nr_C,Nox_C,NEE,NEE_qc,Rg,Temp,RH,VPD,Precip,ws,wd,ustar
2016-07-14 00:30:00,-2.95553,-2.95553,0,3.55,1.03824,NA,2,0,10.2398,96.8812,0.389629,0.6,1.30478,241.577,0.286263
2016-07-14 01:00:00,NA,NA,2,3.63,1.06304,NA,0,0,10.3054,96.4752,0.442288,0,1.05942,269.169,0.320931
2016-07-14 01:30:00,-3.56967,-3.56967,1,3.5,1.00989,NA,2,0,10.3387,94.14,0.736952,0.7,2.20205,298.01,0.395343
2016-07-14 02:00:00,-2.89796,-2.89796,1,3.53,1.09139,NA,1,0.1,10.2374,93.8745,0.765132,0.7,1.63118,282.697,0.349542
2016-07-14 02:30:00,NA,NA,2,3.83,1.09139,NA,1,0.1,10.1109,95.5019,0.557119,0,0.580934,285.187,0.214775
2016-07-14 03:00:00,-15.6989,-15.6989,1,4.01,1.09139,NA,2,0,10.0386,96.1875,0.469919,0.39,0.624451,180.238,0.155646
2016-07-14 03:30:00,-19.7675,-19.7675,1,4.04,1.1162,NA,1,0,9.99935,96.5822,0.420159,0,0.407007,136.617,0.176065
2016-07-14 04:00:00,NA,NA,1,4.29,1.14454,NA,1,0,10.0318,95.7846,0.519337,0,0.662769,139.418,0.0842
2016-07-14 04:30:00,NA,NA,2,4.15,1.1162,NA,2,0.2,9.90762,96.4664,0.431734,0,0.6041,151.293,0.211856
2016-07-14 05:00:00,-14.3555,-14.3555,0,4.18,0.985087,NA,1,2.6,9.88239,97.4696,0.308642,0.1,0.502351,139.265,0.169757
2016-07-14 05:30:00,43.7573,43.7573,0,3.65,1.46346,NA,0,8.6,9.82769,95.8719,0.501669,0.3,2.27469,288.463,0.440256
2016-07-14 06:00:00,-5.45047,-5.45047,0,3.61,1.67607,NA,2,13.9,9.8218,94.4148,0.678473,0.9,2.23007,286.065,0.443202
2016-07-14 06:30:00,-4.56764,-4.56764,1,3.67,1.91702,NA,2,44.7,9.8813,95.0687,0.601434,0.5,2.15478,272.503,0.332513
2016-07-14 07:00:00,-85.2115,-85.2115,0,3.62,2.12963,NA,0,49,9.50903,94.4676,0.658062,0.69,3.40762,277.593,0.79238
2016-07-14 07:30:00,-20.1514,-20.1514,0,3.56,1.86387,NA,0,45.5,9.17562,93.8848,0.711205,0.9,3.30248,283.112,0.762148
2016-07-14 08:00:00,110.161,110.161,0,4.12,1.75757,NA,1,69.4,9.29715,92.586,0.869373,0.9,2.80935,294.758,0.456128
2016-07-14 08:30:00,32.4341,32.4341,0,3.51,1.91702,NA,0,62.5,9.4809,89.916,1.19719,0.79,2.92754,303.882,0.710802
2016-07-14 09:00:00,24.7574,24.7574,0,3.61,1.70796,NA,0,133.5,9.40459,93.0013,0.826634,0.3,2.01587,276.644,0.460796
2016-07-14 09:30:00,-2.30301,-2.30301,1,3.55,1.78591,NA,1,164.4,9.30485,93.6427,0.745842,1.1,2.12138,280.043,0.659489
2016-07-14 10:00:00,-11.611,-11.611,0,3.71,1.99852,NA,1,148.9,9.35637,92.4632,0.8873,1.19,3.06631,288.326,0.611691
2016-07-14 10:30:00,-6.7747,-6.7747,0,3.46,1.90167,NA,0,135.5,9.4957,89.6881,1.22547,0.4,3.23953,303.896,0.583755
2016-07-14 11:00:00,NA,NA,2,3.49,1.80481,NA,1,108.8,9.66927,88.7996,1.3467,0.2,3.0735,304.509,0.732533
2016-07-14 11:30:00,-7.10096,-7.10096,0,3.54,1.70796,NA,2,209.3,9.86681,90.7723,1.12434,0.3,2.47883,297.121,0.674346
2016-07-14 12:00:00,-9.0969,-9.0969,0,3.53,1.97372,NA,0,213.2,10.2842,89.9572,1.25838,0.6,2.2881,296.367,0.618807
2016-07-14 12:30:00,-89.6256,-89.6256,0,3.53,1.7363,NA,1,335.2,10.4904,87.8484,1.54377,0.2,2.39905,308.087,0.54147
2016-07-14 13:00:00,-13.0696,-13.0696,1,3.59,1.43865,NA,1,227,10.3057,90.0457,1.2491,0.2,2.60716,291.758,0.698458
2016-07-14 13:30:00,-12.8201,-12.8201,0,3.64,1.83907,NA,0,197.1,9.9112,92.3749,0.931853,0.59,2.86564,282.028,0.586577
2016-07-14 14:00:00,-2.68685,-2.68685,0,3.6,2.02333,NA,0,123.3,10.1282,90.9677,1.12,1.08,2.92713,294.054,0.558928
2016-07-14 14:30:00,-89.4337,-89.4337,1,3.68,1.86741,NA,0,140.3,10.1992,92.4244,0.943854,0.49,2.9888,278.496,0.629226
2016-07-14 15:00:00,-7.7151,-7.7151,0,3.59,1.73276,NA,1,161.7,10.2866,91.0199,1.1254,1.37,2.0816,298.138,0.463951
2016-07-14 15:30:00,-5.02825,-5.02825,0,3.65,1.73276,NA,2,152.5,10.6133,87.8659,1.55425,1.07,3.38738,318.72,0.698312
2016-07-14 16:00:00,-6.73632,-6.73632,0,3.61,1.43865,NA,1,281,10.1318,89.0544,1.35757,0.1,3.20253,296.182,0.675435
