DateTime,FluX_tNr,Nr_F,Nr_qc,Nr_C,Nox_C,NEE,NEE_qc,Rg,Temp,RH,VPD,Precip,ws,wd,ustar,IP_lin_hhs,IP_mov_hhs,WDM_hhs,FDA_hh6_hhs,MDA_hh5_hhs,MDC_d3_hhs,MDC_d7_hhs,LUT_V1_d3_hhs,LUT_V1_d7_hhs,LUT_V1V2_d3_hhs,LUT_V1V2_d7_hhs,LUT_V1V2V3_d3_hhs,LUT_V1V2V3_d7_hhs,LUT_MDS_d7_hhs,IP_lin_days,IP_mov_days,WDM_days,FDA_hh6_days,MDA_hh5_days,MDC_d3_days,MDC_d7_days,LUT_V1_d3_days,LUT_V1_d7_days,LUT_V1V2_d3_days,LUT_V1V2_d7_days,LUT_V1V2V3_d3_days,LUT_V1V2V3_d7_days,LUT_MDS_d7_days,ANN_CRU_hhs,ANN_all_hhs,ANN_CRU_days,ANN_all_days,IP_lin_real,IP_mov_real,WDM_real,FDA_hh6_real,MDA_hh5_real,MDC_d3_real,MDC_d7_real,LUT_V1_d3_real,LUT_V1_d7_real,LUT_V1V2_d3_real,LUT_V1V2_d7_real,LUT_V1V2V3_d3_real,LUT_V1V2V3_d7_real,LUT_MDS_d7_real,ANN_CRU_real,ANN_all_real
2016-07-14 00:30:00,-2.95553,-2.95553,0,3.55,1.03824,NA,2,0,10.2398,96.8812,0.389629,0.6,1.30478,241.577,0.286263,-3.56967,-3.23382,-7.81803,-7.38884,-3.56967,-12.062,-16.4819,-7.60151,-9.00871,-9.63315,-8.71334,-5.13572,-6.27424,-12.1182,-11.77,-9.28891,-12.3653,-30.8124,-8.87044,-12.062,-16.4819,-6.39833,-9.41549,-5.39609,-6.62274,-6.071,-6.73632,-14.3209,-2.53,0.33,-2.402,-2.051,-2.95553,-2.95553,-2.95553,-2.95553,-2.95553,-2.95553,-2.95553,-2.95553,-2.95553,-2.95553,-2.95553,-2.95553,-2.95553,-2.95553,-2.95553,-2.95553
2016-07-14 01:00:00,NA,NA,2,3.63,1.06304,NA,0,0,10.3054,96.4752,0.442288,0,1.05942,269.169,0.320931,-3.2626,-3.14105,-7.41283,-6.28051,-3.14105,-10.306,-7.80466,-7.75485,-8.8663,-8.95558,-8.51177,-4.81522,-6.25364,-11.6693,-11.77,-9.28891,-12.3653,-30.8124,-8.46358,-10.306,-7.80466,-6.94158,-9.1306,-5.36943,-6.85764,-5.69356,-6.94263,-13.8289,-3.26,-7.1,-3.348,-5.667,-3.2626,-3.14105,-7.41283,-6.28051,-3.14105,-10.306,-7.80466,-7.75485,-8.8663,-8.95558,-8.51177,-4.81522,-6.25364,-11.6693,-3.26,-7.1
2016-07-14 01:30:00,-3.56967,-3.56967,1,3.5,1.00989,NA,2,0,10.3387,94.14,0.736952,0.7,2.20205,298.01,0.395343,-2.91715,-2.92675,-7.7622,-7.18412,-2.92675,-10.5555,-9.67266,-10.059,-10.4985,-9.64387,-8.68563,3.28179,-2.48534,-11.8577,-11.77,-9.28891,-12.3653,-30.8124,-8.46358,-10.5555,-9.67266,-5.99143,-9.43938,-4.70582,-6.4837,-5.57521,-9.28242,-13.8289,-2.68,4.87,-3.048,-0.276,-3.56967,-3.56967,-3.56967,-3.56967,-3.56967,-3.56967,-3.56967,-3.56967,-3.56967,-3.56967,-3.56967,-3.56967,-3.56967,-3.56967,-3.56967,-3.56967
2016-07-14 02:00:00,-2.89796,-2.89796,1,3.53,1.09139,NA,1,0.1,10.2374,93.8745,0.765132,0.7,1.63118,282.697,0.349542,-7.61274,-9.63427,-7.82327,-7.40803,-9.63427,-6.58918,-5.71435,-7.54317,-9.14185,-9.63653,-8.7154,2.29479,-1.84881,-12.1196,-11.77,-9.28891,-12.3653,-30.8124,-30.8124,-6.58918,-5.71435,-6.15943,-9.64254,-5.39609,-6.62274,-5.57521,-7.05709,-14.3209,-2.6,2.98,-2.762,-0.837,-2.89796,-2.89796,-2.89796,-2.89796,-2.89796,-2.89796,-2.89796,-2.89796,-2.89796,-2.89796,-2.89796,-2.89796,-2.89796,-2.89796,-2.89796,-2.89796
2016-07-14 02:30:00,NA,NA,2,3.83,1.09139,NA,1,0.1,10.1109,95.5019,0.557119,0,0.580934,285.187,0.214775,-9.29842,-10.4835,-7.41283,-6.28051,-10.4835,-13.6645,-13.6645,-7.448,-9.07773,-7.85826,-7.68917,-6.80096,-6.62447,-11.9866,-11.77,-9.28891,-12.3653,-30.8124,-23.1005,-13.6645,-13.6645,-7.13572,-9.54803,-6.36783,-6.78131,-4.98986,-5.55477,-14.3209,-4.38,-7.73,-4.12,-5.846,-9.29842,-10.4835,-7.41283,-6.28051,-10.4835,-13.6645,-13.6645,-7.448,-9.07773,-7.85826,-7.68917,-6.80096,-6.62447,-11.9866,-4.38,-7.73
2016-07-14 03:00:00,-15.6989,-15.6989,1,4.01,1.09139,NA,2,0,10.0386,96.1875,0.469919,0.39,0.624451,180.238,0.155646,-14.1443,-11.3327,-6.65955,-3.14105,-11.3327,-21.5204,-16.2727,-7.4668,-10.5845,-7.27368,-8.33384,-5.98488,-8.01036,-11.5987,-11.77,-9.28891,-12.3653,-30.8124,-19.4365,-21.5204,-16.2727,-7.82445,-11.7162,-6.92184,-8.58114,-6.40153,-8.52566,-13.894,-5.33,-4.93,-4.97,-5.671,-15.6989,-15.6989,-15.6989,-15.6989,-15.6989,-15.6989,-15.6989,-15.6989,-15.6989,-15.6989,-15.6989,-15.6989,-15.6989,-15.6989,-15.6989,-15.6989
2016-07-14 03:30:00,-19.7675,-19.7675,1,4.04,1.1162,NA,1,0,9.99935,96.5822,0.420159,0,0.407007,136.617,0.176065,-15.363,-10.9841,-6.28967,7.98378,-15.6989,-6.97301,-5.60736,-7.64033,-10.7574,-7.64719,-8.33307,-6.63935,-7.92478,-11.2977,-11.77,-9.28891,-12.3653,-5.35451,-18.4385,-6.97301,-5.60736,-8.17251,-11.9279,-7.78488,-8.6595,-7.22708,-8.41329,-13.894,-5.46,-9.62,-5.22,-8.173,-19.7675,-19.7675,-19.7675,-19.7675,-19.7675,-19.7675,-19.7675,-19.7675,-19.7675,-19.7675,-19.7675,-19.7675,-19.7675,-19.7675,-19.7675,-19.7675
2016-07-14 04:00:00,NA,NA,1,4.29,1.14454,NA,1,0,10.0318,95.7846,0.519337,0,0.662769,139.418,0.0842,-17.9635,-16.6073,-7.41283,1.04595,-16.6073,-9.48074,-11.9085,-9.24405,-13.1389,-7.88613,-9.28832,-7.8081,-11.0556,-11.694,-11.77,-9.28891,-12.3653,-5.35451,-10.0296,-9.48074,-11.9085,-11.3839,-14.4797,-8.15011,-9.68748,-7.30727,-11.7351,-13.894,-6.44,-8.23,-6.064,-7.837,-17.9635,-16.6073,-7.41283,1.04595,-16.6073,-9.48074,-11.9085,-9.24405,-13.1389,-7.88613,-9.28832,-7.8081,-11.0556,-11.694,-6.44,-8.23
2016-07-14 04:30:00,NA,NA,2,4.15,1.1162,NA,2,0.2,9.90762,96.4664,0.431734,0,0.6041,151.293,0.211856,-16.1595,3.21142,-7.41283,1.04595,3.21142,-4.47168,-5.20097,-8.00155,-12.0932,-8.38075,-9.44986,-6.54714,-9.00516,-11.4902,-11.77,-9.28891,-12.3653,-5.35451,-2.93634,-4.47168,-5.20097,-8.89965,-13.4277,-7.78488,-9.53142,-5.91929,-9.2527,-13.894,-6.11,-10.28,-6.104,-8.992,-16.1595,3.21142,-7.41283,1.04595,3.21142,-4.47168,-5.20097,-8.00155,-12.0932,-8.38075,-9.44986,-6.54714,-9.00516,-11.4902,-6.11,-10.28
2016-07-14 05:00:00,-14.3555,-14.3555,0,4.18,0.985087,NA,1,2.6,9.88239,97.4696,0.308642,0.1,0.502351,139.265,0.169757,27.8761,19.1534,-6.78168,6.17975,19.1534,7.87823,-5.80743,-7.87404,-12.0514,-7.88782,-9.20212,-7.07217,-9.25063,-11.4236,-11.77,-9.28891,-12.3653,-5.35451,-4.89007,7.87823,-5.80743,-9.02278,-13.4459,-7.78488,-9.53142,-7.22708,-9.69885,-13.894,-6.32,-9.25,-6.124,-8.406,-14.3555,-14.3555,-14.3555,-14.3555,-14.3555,-14.3555,-14.3555,-14.3555,-14.3555,-14.3555,-14.3555,-14.3555,-14.3555,-14.3555,-14.3555,-14.3555
