DateTime,FluX_tNr,Nr_F,Nr_qc,Nr_C,Nox_C,NEE,NEE_qc,Rg,Temp,RH,VPD,Precip,ws,wd,ustar,IP_lin_real,IP_mov_real,WDM_real,FDA_hh6_real,MDA_hh5_real,MDC_d3_real,MDC_d7_real,LUT_V1_d3_real,LUT_V1_d7_real,LUT_V1V2_d3_real,LUT_V1V2_d7_real,LUT_V1V2V3_d3_real,LUT_V1V2V3_d7_real,LUT_MDS_d7_real,ANN_CRU_real,ANN_all_real
2016-07-14 00:30:00,-2.95553,-2.95553,0,3.55,1.03824,NA,2,0,10.2398,96.8812,0.389629,0.6,1.30478,241.577,0.286263,-2.95553,-2.95553,-2.95553,-2.95553,-2.95553,-2.95553,-2.95553,-2.95553,-2.95553,-2.95553,-2.95553,-2.95553,-2.95553,-2.95553,-2.95553,-2.95553
2016-07-14 01:00:00,NA,NA,2,3.63,1.06304,NA,0,0,10.3054,96.4752,0.442288,0,1.05942,269.169,0.320931,-3.2626,-3.14105,-7.41283,-6.28051,-3.14105,-10.306,-7.80466,-7.75485,-8.8663,-8.95558,-8.51177,-4.81522,-6.25364,-11.6693,-3.26,-7.1
2016-07-14 01:30:00,-3.56967,-3.56967,1,3.5,1.00989,NA,2,0,10.3387,94.14,0.736952,0.7,2.20205,298.01,0.395343,-3.56967,-3.56967,-3.56967,-3.56967,-3.56967,-3.56967,-3.56967,-3.56967,-3.56967,-3.56967,-3.56967,-3.56967,-3.56967,-3.56967,-3.56967,-3.56967
2016-07-14 02:00:00,-2.89796,-2.89796,1,3.53,1.09139,NA,1,0.1,10.2374,93.8745,0.765132,0.7,1.63118,282.697,0.349542,-2.89796,-2.89796,-2.89796,-2.89796,-2.89796,-2.89796,-2.89796,-2.89796,-2.89796,-2.89796,-2.89796,-2.89796,-2.89796,-2.89796,-2.89796,-2.89796
2016-07-14 02:30:00,NA,NA,2,3.83,1.09139,NA,1,0.1,10.1109,95.5019,0.557119,0,0.580934,285.187,0.214775,-9.29842,-10.4835,-7.41283,-6.28051,-10.4835,-13.6645,-13.6645,-7.448,-9.07773,-7.85826,-7.68917,-6.80096,-6.62447,-11.9866,-4.38,-7.73
2016-07-14 03:00:00,-15.6989,-15.6989,1,4.01,1.09139,NA,2,0,10.0386,96.1875,0.469919,0.39,0.624451,180.238,0.155646,-15.6989,-15.6989,-15.6989,-15.6989,-15.6989,-15.6989,-15.6989,-15.6989,-15.6989,-15.6989,-15.6989,-15.6989,-15.6989,-15.6989,-15.6989,-15.6989
2016-07-14 03:30:00,-19.7675,-19.7675,1,4.04,1.1162,NA,1,0,9.99935,96.5822,0.420159,0,0.407007,136.617,0.176065,-19.7675,-19.7675,-19.7675,-19.7675,-19.7675,-19.7675,-19.7675,-19.7675,-19.7675,-19.7675,-19.7675,-19.7675,-19.7675,-19.7675,-19.7675,-19.7675
2016-07-14 04:00:00,NA,NA,1,4.29,1.14454,NA,1,0,10.0318,95.7846,0.519337,0,0.662769,139.418,0.0842,-17.9635,-16.6073,-7.41283,1.04595,-16.6073,-9.48074,-11.9085,-9.24405,-13.1389,-7.88613,-9.28832,-7.8081,-11.0556,-11.694,-6.44,-8.23
2016-07-14 04:30:00,NA,NA,2,4.15,1.1162,NA,2,0.2,9.90762,96.4664,0.431734,0,0.6041,151.293,0.211856,-16.1595,3.21142,-7.41283,1.04595,3.21142,-4.47168,-5.20097,-8.00155,-12.0932,-8.38075,-9.44986,-6.54714,-9.00516,-11.4902,-6.11,-10.28
2016-07-14 05:00:00,-14.3555,-14.3555,0,4.18,0.985087,NA,1,2.6,9.88239,97.4696,0.308642,0.1,0.502351,139.265,0.169757,-14.3555,-14.3555,-14.3555,-14.3555,-14.3555,-14.3555,-14.3555,-14.3555,-14.3555,-14.3555,-14.3555,-14.3555,-14.3555,-14.3555,-14.3555,-14.3555
2016-07-14 05:30:00,43.7573,43.7573,0,3.65,1.46346,NA,0,8.6,9.82769,95.8719,0.501669,0.3,2.27469,288.463,0.440256,43.7573,43.7573,43.7573,43.7573,43.7573,43.7573,43.7573,43.7573,43.7573,43.7573,43.7573,43.7573,43.7573,43.7573,43.7573,43.7573
2016-07-14 06:00:00,-5.45047,-5.45047,0,3.61,1.67607,NA,2,13.9,9.8218,94.4148,0.678473,0.9,2.23007,286.065,0.443202,-5.45047,-5.45047,-5.45047,-5.45047,-5.45047,-5.45047,-5.45047,-5.45047,-5.45047,-5.45047,-5.45047,-5.45047,-5.45047,-5.45047,-5.45047,-5.45047
2016-07-14 06:30:00,-4.56764,-4.56764,1,3.67,1.91702,NA,2,44.7,9.8813,95.0687,0.601434,0.5,2.15478,272.503,0.332513,-4.56764,-4.56764,-4.56764,-4.56764,-4.56764,-4.56764,-4.56764,-4.56764,-4.56764,-4.56764,-4.56764,-4.56764,-4.56764,-4.56764,-4.56764,-4.56764
